nbrhd,One_Person_Households,Adults_Non_English_Speaking,Births_to_Teen_Mothers_19_and_under,Births_to_Unwed_Mothers,Births_to_Women_With_Less_Than_12th_Grade_Education,Children_Living_with_Single_Parents,Families_with_Children,Families_without_Children,Foreign_Born,Households,Households_with_Income_more_than_USD_125000,Households_with_Income_less_than_USD_60000,Households_with_Income_USD_60000_to_USD_124999,Housing_Units,Housing_Vacancy,Multi_Family_Units,Overcrowded_housing_units,Persons_Age_25_with_College_Degree_Associates_or_Better,Persons_age_25_with_high_school_only_education,Persons_age_25_with_less_than_12th_grade_education,Persons_age_25_with_some_college_but_no_degree,Persons_in_Poverty,Persons_per_Household,Population_18_24,Population_25_34,Population_35_44,Population_45_54,Population_5_17,Population_55_64,Population_African_American,Population_Asian_per_Pacific_Islander,Population_Latino,Population_Native_American,Population_Non_Latino,Population_Non_Latino_White,Population_Other_Race_Single_Race_Selected,Population_White,Population_of_2_or_More_Races,Population_over_65,Population_under_5,Renters_Spending_More_Than_30Percent_of_Income_on_Housing,Single_Family_Units,Single_Mothers_with_Children_in_Poverty,Total_Population,Unemployed_in_Civilian_Labor_Force,Births_African_American,Births_Asian_per_Pacific_Islander,Births_Latino,Births_Native_American,Births_Non_Latino_White,Births_Other_Race,Crime Incidents
bowels-grove-park,499,27,0,7,0,31,475,667,230,1740,475,545,720,1867,127,210,0,1714,483,129,1029,253,2.57,289,667,539,884,654,523,0,85,584,60,3922,3722,19,4261,81,742,208,164,1657,10,4506,87,0,0,6,0,48,0,
capitol-hill,7605,203,0,13,0,301,502,993,1008,10985,735,7272,2978,11550,565,10723,229,9438,1571,502,2281,2630,1.43,1427,7735,2354,1346,417,1334,770,544,1785,136,14086,12319,601,13130,690,1023,235,3654,794,49,15871,601,6,3,8,0,41,0,17457
castle-pines-north,943,13,0,7,0,687,2594,2135,948,5839,3383,1096,1360,6140,301,693,40,8195,783,174,1497,304,2.8,661,1051,2457,3055,4423,2117,161,581,1022,20,15322,14042,83,14851,648,1969,611,318,5381,34,16344,327,3,8,9,0,82,0,
castle-pines-villige-metes-and-bounds,341,0,0,10,0,299,380,423,158,1228,420,602,206,1374,146,752,45,1180,341,56,564,378,2.29,299,430,365,455,590,418,134,82,263,12,2883,2570,41,2764,113,473,116,383,622,44,3146,88,4,0,6,0,20,0,
castlewood-ranch,138,0,0,8,0,294,771,325,157,1315,376,293,646,1315,0,13,37,1318,382,41,620,292,3.09,238,563,645,593,1125,341,0,43,417,0,3645,3543,8,3952,59,219,338,121,1302,27,4062,85,0,3,8,0,50,0,
centennial-airport,3320,435,5,42,8,1513,2811,2327,4288,9463,1877,3834,3752,10199,736,7188,374,9846,1602,690,3178,1818,2.25,1885,5330,4273,2399,3884,1702,1096,3347,3164,96,19105,14289,1310,15741,679,1612,1184,2543,2962,104,22269,552,19,17,41,3,137,9,
central-business,1614,16,0,8,0,0,10,385,321,2456,647,1363,446,3322,866,3275,40,2120,179,124,403,720,1.43,1116,1241,546,403,28,417,236,114,463,15,3520,3037,98,3364,156,219,13,781,47,0,3983,140,0,0,6,0,14,0,19118
central-commerce-city,537,591,15,59,15,1246,3551,1509,1991,5853,1142,1616,3095,6044,191,393,161,4497,3173,1157,3102,668,3.52,1252,3977,3421,2212,4946,1331,385,741,7336,292,13291,11234,439,17450,1320,988,2500,302,5578,25,20627,461,10,18,127,3,185,8,
central-east-aurora,157,120,0,6,11,432,831,559,698,1596,420,537,639,1679,83,39,47,1208,857,251,839,402,3.16,171,673,1097,537,1280,499,410,235,1410,0,3633,2799,847,3302,249,349,437,119,1195,27,5043,209,10,3,32,0,61,3,
central-north-broomfield,559,34,0,5,0,311,1521,1301,775,3440,1580,752,1108,3484,44,191,8,4279,713,176,1286,83,2.84,607,626,1543,1866,2190,1189,86,707,779,87,8991,7831,249,8448,193,1230,519,126,3279,0,9770,180,4,10,7,0,52,0,
central-northglenn,2743,950,23,104,43,2657,2887,2252,2832,8686,609,5225,2852,8865,179,3726,376,4017,4691,2712,4262,3230,2.67,2112,4172,2786,3042,3830,2627,552,793,7947,125,15419,13813,441,20766,689,3055,1742,2563,5033,170,23366,671,11,10,136,3,168,11,
central-south-littleton,597,14,0,4,0,285,698,1203,471,2593,961,747,885,2640,47,317,21,3172,630,165,896,280,2.54,353,601,767,1050,1139,1127,170,79,185,12,6410,6024,41,6165,128,1318,240,193,2209,20,6595,142,0,0,5,0,37,0,
central-west-broomfield,526,138,0,16,0,435,1100,1286,822,3047,982,1101,964,3144,97,370,71,3312,900,151,1316,484,2.71,446,858,1046,1301,1553,1337,115,608,885,13,7372,6465,142,7163,216,1137,579,258,2767,47,8257,271,0,0,13,0,53,0,
chaffee-park,572,543,6,26,10,101,402,444,807,1572,164,876,532,1638,66,205,110,965,819,730,482,387,2.51,292,779,606,494,619,652,73,37,2399,43,1683,1536,281,3507,141,465,175,316,1423,55,4082,194,4,0,39,0,30,3,2616
chambers-heights-and-laredo-highline,313,959,11,48,41,543,731,406,1775,1554,60,1041,453,1652,98,674,217,426,1131,938,625,1315,3.51,564,819,859,741,1188,326,590,194,3830,237,1712,881,1367,2983,171,375,670,505,740,85,5542,266,19,3,81,0,12,8,
charles-whitlock-rec-park-and-morse-park,786,185,3,16,7,445,658,616,632,2355,283,1288,784,2355,0,735,26,1659,693,525,1216,973,2.45,603,902,645,680,1003,923,72,33,1370,140,4696,4393,155,5577,89,943,367,699,1620,80,6066,186,0,0,13,0,41,0,
chautauqua-table-mesa-and-devils-thumb,751,80,0,3,0,179,799,1029,802,2984,1181,919,884,3087,103,409,0,4489,350,30,439,716,2.53,780,947,858,1123,1114,1098,65,399,317,8,7279,6538,96,6732,296,1282,394,414,2655,19,7596,210,0,0,0,0,33,0,
